ANNEE,SESN,CD_COURS,REG_ADM,RES_ENS,CD_ORGNS_RESP,CD_ORGNS2,NO_GROUP_ELEVE,ELEVE_NOTE,MOYEN_NEB,PCT_REUST_NEB,MOYEN_NEM,PCT_REUST_NEM,MOYEN_NMB,PCT_REUST_NMB,MOYEN_NMC,PCT_REUST_NMC,MOYEN_RF,PCT_REUST_RF
2020,1,136506,16,PU,866000,866050,??,72,,,,,,,,,78.1,100
2020,1,136506,16,PU,866000,866050,,72,,,,,,,,,78.1,100
2020,1,136506,16,PU,866000,,,72,,,,,,,,,78.1,100
2020,1,136506,16,PU,,,,72,,,,,,,,,78.1,100
2020,1,136506,16,PR,,,,2,,,,,,,,,89.5,100
2020,1,136506,16,,,,,74,,,,,,,,,78.4,100
2020,1,136506,,PU,,,,231,,,,,,,,,78.4,94
2020,1,136506,,PR,,,,80,,,,,,,,,88.7,100
2020,1,136506,,,,,,311,,,,,,,,,81.1,95.5
2020,1,136530,16,PU,866000,866050,51,25,79.3,100,,,,,,,79.3,100
2020,1,136530,16,PU,866000,866050,52,22,81.2,100,,,,,,,81.2,100
2020,1,136530,16,PU,866000,866050,53,25,82.6,100,,,,,,,82.6,100
2020,1,136530,16,PU,866000,866050,,72,81,100,,,,,,,81,100
2020,1,136530,16,PU,866000,,,72,81,100,,,,,,,81,100
2020,1,136530,16,PU,,,,72,81,100,,,,,,,81,100
2020,1,136530,16,PR,,,,2,92.5,100,,,,,,,92.5,100
2020,1,136530,16,,,,,74,81.3,100,,,,,,,81.3,100
2020,1,136530,,PU,,,,220,81.6,99.5,,,,,,,81.6,99.5
2020,1,136530,,PR,,,,82,89.6,100,,,,,,,89.6,100
2020,1,136530,,,,,,302,83.8,99.7,,,,,,,83.8,99.7
2020,1,136540,16,PU,866000,866050,51,25,73,100,77.2,96,77.2,100,77.2,100,78.7,100
2020,1,136540,16,PU,866000,866050,52,22,79.1,100,80,95.5,80.2,100,80.2,100,81.7,100
2020,1,136540,16,PU,866000,866050,53,25,76.8,100,76.4,96,76.4,100,76.4,100,77.7,100
2020,1,136540,16,PU,866000,866050,,72,76.2,100,77.8,95.8,77.8,100,77.8,100,79.3,100
2020,1,136540,16,PU,866000,,,72,76.2,100,77.8,95.8,77.8,100,77.8,100,79.3,100
2020,1,136540,16,PU,,,,72,76.2,100,77.8,95.8,77.8,100,77.8,100,79.3,100
2020,1,136540,16,PR,,,,2,,,,,89,100,89,100,89,100
2020,1,136540,16,,,,,74,76.2,100,77.8,95.8,78.1,100,78.1,100,79.5,100
2020,1,136540,,PU,,,,232,77.8,100,75.7,91.4,78.1,97,78.1,97,78.7,97.4
2020,1,136540,,PR,,,,81,85.1,100,85,98.7,85,100,85,100,86.8,100
2020,1,136540,,,,,,313,81,100,79.9,94.7,79.9,97.8,79.9,97.8,80.8,98.1
2020,1,136550,16,PU,866000,866050,51,25,75.2,100,72.9,92,72.9,80,72.9,80,74,84
2020,1,136550,16,PU,866000,866050,52,22,77,100,73.3,90.9,73.3,90.9,73.3,90.9,74.9,95.5
2020,1,136550,16,PU,866000,866050,53,25,77.1,96,72.2,92,72.2,96,72.2,96,73.2,96
2020,1,136550,16,PU,866000,866050,,72,76.4,98.6,72.8,91.7,72.8,88.9,72.8,88.9,74,91.7
2020,1,136550,16,PU,866000,,,72,76.4,98.6,72.8,91.7,72.8,88.9,72.8,88.9,74,91.7
2020,1,136550,16,PU,,,,72,76.4,98.6,72.8,91.7,72.8,88.9,72.8,88.9,74,91.7
2020,1,136550,16,PR,,,,2,,,,,87,100,87,100,87,100
2020,1,136550,16,,,,,74,76.4,98.6,72.8,91.7,73.2,89.2,73.2,89.2,74.3,91.9
2020,1,136550,,PU,,,,232,77.3,98,73.4,91.7,76.7,93.1,76.7,93.1,77.2,94
2020,1,136550,,PR,,,,81,85.9,100,87.8,100,87.8,100,87.8,100,89,100
2020,1,136550,,,,,,313,81.1,98.9,79.8,95.4,79.6,94.9,79.6,94.9,80.3,95.5
2020,1,63410,16,PU,866000,866052,96,1,90,100,,,,,,,90,100
2020,1,63410,16,PU,866000,866052,,1,90,100,,,,,,,90,100
2020,1,63410,16,PU,866000,,,1,90,100,,,,,,,90,100
2020,1,63410,16,PU,,,,61,62.1,57.4,,,,,,,62.1,57.4
2020,1,63410,16,PR,,,,10,78.6,100,,,,,,,78.6,100
2020,1,63410,16,,,,,71,64.4,63.4,,,,,,,64.4,63.4
2020,1,63410,,PU,,,,1309,62.9,66.3,,,,,,,62.9,66.3
2020,1,63410,,PR,,,,44,70.1,77.3,,,,,,,70.1,77.3
2020,1,63410,,,,,,1353,63.1,66.7,,,,,,,63.1,66.7
2020,1,63414,16,PU,866000,866052,??,1,,,,,,,,,93,100
2020,1,63414,16,PU,866000,866052,,1,,,,,,,,,93,100
2020,1,63414,16,PU,866000,,,1,,,,,,,,,93,100
2020,1,63414,16,PU,,,,93,,,,,,,,,56.1,43.6
2020,1,63414,16,PR,,,,23,,,,,,,,,71.7,95.7
2020,1,63414,16,,,,,116,,,,,,,,,59.2,53.8
2020,1,63414,,PU,,,,1480,,,,,,,,,63.9,62
2020,1,63414,,PR,,,,111,,,,,,,,,64.9,70.3
2020,1,63414,,GO,,,,20,,,,,,,,,48.7,31.8
2020,1,63414,,,,,,1611,,,,,,,,,63.8,62.2
2020,1,63420,16,PU,866000,866052,96,1,92,100,,,94,100,94,100,94,100
2020,1,63420,16,PU,866000,866052,,1,92,100,,,94,100,94,100,94,100
2020,1,63420,16,PU,866000,,,1,92,100,,,94,100,94,100,94,100
2020,1,63420,16,PU,,,,90,61.5,64.9,51.9,40.5,50.4,40,50.4,40,53.4,42.2
2020,1,63420,16,PR,,,,25,70.9,90,77.1,100,75.4,96,75.4,96,76.2,96
2020,1,63420,16,,,,,115,62.6,67.8,54.7,47,55.8,52.2,55.8,52.2,58.4,53.9
2020,1,63420,,PU,,,,1427,60.2,61.2,61.9,58.1,60.7,61.5,60.7,61.5,63.7,65
2020,1,63420,,PR,,,,120,67.9,74.1,70.5,84.6,63.9,68.3,63.9,68.3,64.4,70
2020,1,63420,,GO,,,,22,84.7,100,84.3,100,43.6,31.8,43.6,31.8,43.6,31.8
2020,1,63420,,,,,,1569,60.4,61.5,62.1,58.7,60.7,61.6,60.7,61.6,63.4,64.9
2020,1,65420,16,PU,866000,866052,99,1,,,,,66,100,66,100,66,100
2020,1,65420,16,PU,866000,866052,,1,,,,,66,100,66,100,66,100
2020,1,65420,16,PU,866000,,,3,,,,,44.7,33.3,44.7,33.3,44.7,33.3
2020,1,65420,16,PU,,,,33,66.6,68,55.7,29.2,54.5,42.4,54.5,42.4,56.1,42.4
